Variation; Generation; Genome; Parent; Score
0.001;6;35; 19; 2.265101
0.001;6;36; 33; 4.667206
0.001;6;37; 13; 6.347192
0.001;6;38; 28; 1.260188
0.001;6;39; 34; 0.2365651
0.001;6;19; 13; 4.674761
0.001;6;33; 13; 4.708961
0.001;6;13; 3; 4.86047
0.001;6;28; 19; 4.893177
0.001;6;34; 28; 5.441843
0.001;7;40; 33; 1.234289
0.001;7;41; 13; 4.865977
0.001;7;42; 28; 2.442022
0.001;7;43; 34; 3.707422
0.001;7;44; 37; 2.660637
0.001;7;33; 13; 4.708961
0.001;7;13; 3; 4.86047
0.001;7;28; 19; 4.893177
0.001;7;34; 28; 5.441843
0.001;7;37; 13; 6.347192
0.001;8;45; 13; 4.189588
0.001;8;46; 41; 5.998432
0.001;8;47; 28; 7.002844
0.001;8;48; 34; 1.783076
0.001;8;49; 37; 6.881807
0.001;8;13; 3; 4.86047
0.001;8;41; 13; 4.865977
0.001;8;28; 19; 4.893177
0.001;8;34; 28; 5.441843
0.001;8;37; 13; 6.347192
0.001;9;50; 34; 2.024327
0.001;9;51; 46; -0.7712433
0.001;9;52; 37; 3.817078
0.001;9;53; 49; 3.563733
0.001;9;54; 47; 3.358308
0.001;9;34; 28; 5.441843
0.001;9;46; 41; 5.998432
0.001;9;37; 13; 6.347192
0.001;9;49; 37; 6.881807
0.001;9;47; 28; 7.002844
0.001;10;55; 34; 4.120066
0.001;10;56; 46; 3.896554
0.001;10;57; 37; 4.844852
0.001;10;58; 49; 6.982783
0.001;10;59; 47; 5.105197
0.001;10;34; 28; 5.441843
0.001;10;46; 41; 5.998432
0.001;10;37; 13; 6.347192
0.001;10;49; 37; 6.881807
0.001;10;47; 28; 7.002844
0.001;11;60; 46; 3.781546
0.001;11;61; 37; 3.011067
0.001;11;62; 49; 4.155333
0.001;11;63; 58; 2.438582
0.001;11;64; 47; 3.64849
0.001;11;46; 41; 5.998432
0.001;11;37; 13; 6.347192
0.001;11;49; 37; 6.881807
0.001;11;58; 49; 6.982783
0.001;11;47; 28; 7.002844
0.001;12;65; 46; 5.22488
0.001;12;66; 37; 3.759933
0.001;12;67; 49; 4.425118
0.001;12;68; 58; 1.961215
0.001;12;69; 47; 3.848001
0.001;12;46; 41; 5.998432
0.001;12;37; 13; 6.347192
0.001;12;49; 37; 6.881807
0.001;12;58; 49; 6.982783
0.001;12;47; 28; 7.002844
0.001;13;70; 46; 4.487402
0.001;13;71; 37; 5.901229
0.001;13;72; 49; 3.789122
0.001;13;73; 58; 2.941158
0.001;13;74; 47; 4.046347
0.001;13;46; 41; 5.998432
0.001;13;37; 13; 6.347192
0.001;13;49; 37; 6.881807
0.001;13;58; 49; 6.982783
0.001;13;47; 28; 7.002844
0.001;14;75; 46; 3.541717
0.001;14;76; 37; 2.470502
0.001;14;77; 49; 4.903653
0.001;14;78; 58; 4.282558
0.001;14;79; 47; 5.590688
0.001;14;46; 41; 5.998432
0.001;14;37; 13; 6.347192
0.001;14;49; 37; 6.881807
0.001;14;58; 49; 6.982783
0.001;14;47; 28; 7.002844
0.001;15;80; 46; 6.257946
0.001;15;81; 37; 2.342307
0.001;15;82; 49; 3.154593
0.001;15;83; 58; 7.825004
0.001;15;84; 47; 2.372061
0.001;15;46; 41; 5.998432
0.001;15;37; 13; 6.347192
0.001;15;49; 37; 6.881807
0.001;15;58; 49; 6.982783
0.001;15;47; 28; 7.002844
0.001;16;85; 37; 4.614408
0.001;16;86; 49; 4.316208
0.001;16;87; 58; 3.706028
0.001;16;88; 47; 1.533451
0.001;16;89; 83; 5.481098
0.001;16;37; 13; 6.347192
0.001;16;49; 37; 6.881807
0.001;16;58; 49; 6.982783
0.001;16;47; 28; 7.002844
0.001;16;83; 58; 7.825004
0.001;17;90; 37; 4.265749
0.001;17;91; 49; 5.908728
0.001;17;92; 58; 6.025817
0.001;17;93; 47; 4.002159
0.001;17;94; 83; 1.469607
0.001;17;37; 13; 6.347192
0.001;17;49; 37; 6.881807
0.001;17;58; 49; 6.982783
0.001;17;47; 28; 7.002844
0.001;17;83; 58; 7.825004
0.001;18;95; 37; 5.956357
0.001;18;96; 49; 5.396546
0.001;18;97; 58; 4.816815
0.001;18;98; 47; 3.775507
0.001;18;99; 83; 4.376188
0.001;18;37; 13; 6.347192
0.001;18;49; 37; 6.881807
0.001;18;58; 49; 6.982783
0.001;18;47; 28; 7.002844
0.001;18;83; 58; 7.825004
0.001;19;100; 37; 4.625524
0.001;19;101; 49; 1.618924
0.001;19;102; 58; 2.926777
0.001;19;103; 47; 5.353506
0.001;19;104; 83; 2.786631
0.001;19;37; 13; 6.347192
0.001;19;49; 37; 6.881807
0.001;19;58; 49; 6.982783
0.001;19;47; 28; 7.002844
0.001;19;83; 58; 7.825004
0.001;20;105; 37; 2.933614
0.001;20;106; 49; 3.846359
0.001;20;107; 58; 3.963741
0.001;20;108; 47; 4.309348
0.001;20;109; 83; 3.607435
0.001;20;37; 13; 6.347192
0.001;20;49; 37; 6.881807
0.001;20;58; 49; 6.982783
0.001;20;47; 28; 7.002844
0.001;20;83; 58; 7.825004
